2463,/home/uchanlee/uchanlee/uchan_dataset/DATA4/Mamma Mia! Here We Go Again,1,0,0,1,0,"Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.",1,"[1, 0, 0, 0, 0, 0, 1, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Mamma Mia! Here We Go Again/audio.npy
1412,/home/uchanlee/uchanlee/uchan_dataset/DATA4/The Originals,1,2,1,1,2,A family of power-hungry thousand-year-old vampires look to take back the city that they built and dominate all those who have done them wrong.,2,"[0, 0, 1, 0, 0, 1, 0, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/The Originals/audio.npy
2325,/home/uchanlee/uchanlee/uchan_dataset/DATA4/Rampage,0,2,2,0,2,"When three different animals become infected with a dangerous pathogen, a primatologist and a geneticist team up to stop them from destroying Chicago.",1,"[0, 1, 0, 0, 0, 0, 0, 1, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Rampage/audio.npy
1786,/home/uchanlee/uchanlee/uchan_dataset/DATA4/Dick Tracy,1,2,0,1,1,The comic strip detective finds his life vastly complicated when Breathless Mahoney makes advances towards him while he is trying to battle Big Boy Caprice's united mob.,1,"[0, 1, 0, 1, 0, 0, 1, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Dick Tracy/audio.npy
2126,/home/uchanlee/uchanlee/uchan_dataset/DATA4/Star Trek Voyager,0,1,0,1,2,"Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.",1,"[0, 1, 0, 0, 0, 0, 0, 1, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Star Trek Voyager/audio.npy
1565,/home/uchanlee/uchanlee/uchan_dataset/DATA4/Revenge,1,2,1,2,2,An emotionally troubled young woman sets out to exact revenge against the people who wronged her father.,2,"[0, 0, 0, 0, 1, 1, 0, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Revenge/audio.npy
2277,/home/uchanlee/uchanlee/uchan_dataset/DATA4/Rushmore,1,1,2,1,0,The extracurricular king of Rushmore Preparatory School is put on academic probation.,1,"[1, 0, 0, 0, 0, 1, 1, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Rushmore/audio.npy
2177,/home/uchanlee/uchanlee/uchan_dataset/DATA4/The Girl Next Door,3,3,3,2,3,Follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt and the boys who witness and fail to report the crime.,3,"[0, 0, 1, 1, 0, 1, 0, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/The Girl Next Door/audio.npy
1459,/home/uchanlee/uchanlee/uchan_dataset/DATA4/The Broken Hearts Gallery,1,0,2,1,0,"After a break-up, a young woman decides to start a gallery where people can leave trinkets from past relationships.",1,"[1, 0, 0, 0, 0, 0, 1, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/The Broken Hearts Gallery/audio.npy
1874,/home/uchanlee/uchanlee/uchan_dataset/DATA4/Snatch,1,2,3,1,1,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",3,"[0, 0, 0, 1, 0, 0, 1, 0, 0]",/home/uchanlee/uchanlee/uchan_dataset/AUDIO_IMAGES/Snatch/audio.npy
